index,title,url,upload_date,duration,views,status,description
1,Hornbill Comes to India AI Impact Summit 2026 @TaFMANagaland,https://www.youtube.com/watch?v=5y1cWkVh7xA,2026-02-21,1:15:20,4537,📼 RECORDED,"Hornbill Comes to India AI Impact Summit 2026 

Get ready to be mesmerised as we bring you ‘The #Hornbill Dream – Where Tradition Meets Technology’ to"
2,Press Briefing by HMIT Ashwani Vaishnav on AI Impact Summit 2026 l Day 5,https://www.youtube.com/watch?v=Gq92TLyeVTM,2026-02-21,49:35,2013,📼 RECORDED,Press Briefing by HMIT Ashwani Vaishnav on AI Impact Summit 2026 l Day 5
3,Powering AI | Global Leaders Session | AI Impact Summit India Part 2,https://www.youtube.com/watch?v=0l1_tBqWqQU,2026-02-21,59:46,958,📼 RECORDED,Powering AI | Global Leaders Session | AI Impact Summit India Part 2
4,Hornbill Comes to India AI Impact Summit 2026 @TaFMANagaland,https://www.youtube.com/watch?v=sj9LDqoepwM,2026-02-21,34:13,1806,📼 RECORDED,"Hornbill Comes to India AI Impact Summit 2026 

Get ready to be mesmerised as we bring you ‘The #Hornbill Dream – Where Tradition Meets Technology’ to"
5,Secure Talk: Using AI to Protect Global Communications & Privacy,https://www.youtube.com/watch?v=EVXBSEcGcwI,2026-02-21,1:10:30,2102,📼 RECORDED,Secure Talk: Using AI to Protect Global Communications & Privacy
6,AI-Driven Enforcement: Better Governance through Effective Compliance & Services,https://www.youtube.com/watch?v=uYRqhCO7ccA,2026-02-21,2:05:15,1604,📼 RECORDED,"AI is transforming enforcement by enabling smarter compliance, better public services, and more responsive governance. This symposium aims to bring to"
7,Global Perspectives on Openness and Trust in AI,https://www.youtube.com/watch?v=VFor0DKpaRI,2026-02-21,57:10,447,📼 RECORDED,"The future of AI governance will hinge on the openness of AI systems and infrastructure. This session will examine how openness across the AI stack, i"
8,AI for Social Empowerment: Driving Change and Inclusion,https://www.youtube.com/watch?v=MD3lyPT0Xew,2026-02-21,50:50,387,📼 RECORDED,"Artificial intelligence will reshape labour markets, livelihoods, and the nature of work worldwide. This session will examine who benefits from AI-dri"
9,Leveraging AI4All: Pathways to Inclusion,https://www.youtube.com/watch?v=JYbXp3RuLW8,2026-02-21,54:15,407,📼 RECORDED,"This session brings together leaders from government, industry, the judiciary, and international institutions to showcase how India is deploying AI fo"
10,Scaling Enterprise-Grade Responsible AI Across the Global South,https://www.youtube.com/watch?v=RW9vl6Froqw,2026-02-21,57:30,453,📼 RECORDED,This session will examine how responsible AI is being operationalised at enterprise and government scale in India and other Global South contexts. Mov
11,Ensuring Safe AI: Monitoring Agents to Bridge the Global Assurance Gap,https://www.youtube.com/watch?v=3ob6Qmy1HwM,2026-02-21,56:50,335,📼 RECORDED,This session will explore how real-time monitoring and threshold-based safety frameworks can govern AI agents at scale. It will examine practical appr
12,"Shaping AI’s Story: Trust, Responsibility & Real-World Outcomes",https://www.youtube.com/watch?v=W6SPwKDPNf4,2026-02-21,57:00,301,📼 RECORDED,
13,Panel Discussion: AI in Digital Public Infrastructure (DPI) | India AI Impact Summit,https://www.youtube.com/watch?v=gjlu7s6WBqY,2026-02-21,36:20,1070,📼 RECORDED,"Policy leaders, technologists, and industry experts examine how artificial intelligence is enhancing Digital Public Infrastructure (DPI). The panel ex"
14,Toward Collective Action: Roundtable on Safe & Trusted AI,https://www.youtube.com/watch?v=xZlAkpybI0k,2026-02-21,50:55,327,📼 RECORDED,"Industry, government, and academia unite to define the collective steps needed to secure the AI future."
15,AI-Powered Chips and Skills: Shaping India’s Next-Gen Workforce,https://www.youtube.com/watch?v=8F30ALy8GM8,2026-02-21,1:02:40,860,📼 RECORDED,
16,Powering AI | Global Leaders Session | AI Impact Summit India,https://www.youtube.com/watch?v=SI4XfkW55Dg,2026-02-20,16:45,334,📼 RECORDED,"A special session titled “Powering AI” featuring Sara Hooker (Co-founder, Adaption Labs), Deepak Garg (Founder, Chairman & Co-CEO, Smart Energy Water)"
17,Secure Finance: Risk-Based AI Policy for the Banking Sector,https://www.youtube.com/watch?v=7eDj05DNdeg,2026-02-21,1:17:05,362,📼 RECORDED,"This panel discussion will bring together regulators, financial institutions, and fintech stakeholders to examine how risk-based, embedded governance "
18,"Building Trusted AI at Scale: Cities, Startups & Digital Sovereignty | India AI Impact Summit 2026",https://www.youtube.com/watch?v=SvhY0PuxoTk,2026-02-20,5:25:25,9227,📼 RECORDED,"How do we build AI that is secure, inclusive, economically viable, and built to last?

This session brings together leaders across healthcare, finance"
19,"Keynote by Dr. Pramod Varma | Co-founder & Chief Architect, NFH | India AI Impact Summit",https://www.youtube.com/watch?v=3JL4sUIBaCw,2026-02-20,9:20,384,📼 RECORDED,"Dr. Pramod Varma, Co-founder and Chief Architect of Networks for Humanity (NFH), delivers a keynote at the India AI Impact Summit, sharing insights on"
20,AI Innovation in India,https://www.youtube.com/watch?v=CupvLxz6iaA,2026-02-21,50:10,908,📼 RECORDED,
21,Panel Discussion: Next Generation of Techies | India AI Impact Summit,https://www.youtube.com/watch?v=kb2LKctpT4g,2026-02-21,42:20,476,📼 RECORDED,"Young innovators, educators, and industry leaders come together to discuss how the next generation is shaping the future of technology. The panel expl"
22,From India to the Global South: Advancing Social Impact with AI,https://www.youtube.com/watch?v=gD6W3HknOJ0,2026-02-21,1:02:00,271,📼 RECORDED,"This session will showcase youth led, open source AI innovations designed for social good in India and scalable across the Global South. It will highl"
23,Impact & the Role of AI: How Artificial Intelligence Is Changing Everything,https://www.youtube.com/watch?v=5ro1Tfi1K2Y,2026-02-21,1:21:50,515,📼 RECORDED,"AI is rapidly reshaping economies and societies. This panel will examine AI’s socio-economic impact on productivity, growth, and with a particular foc"
24,Towards a Safer South: Launching the Global South AI Safety Research Network,https://www.youtube.com/watch?v=pZd2-Pkh-Xg,2026-02-21,1:00:15,291,📼 RECORDED,This session will launch a Global South research network dedicated to advancing inclusive and context-aware approaches to artificial intelligence safe
25,Founders' Adda: Raw Conversations with India’s Top AI Pioneers,https://www.youtube.com/watch?v=0WA24YQ-fks,2026-02-21,54:48,310,📼 RECORDED,"No slides, no scripts. Just honest talk from the founders building the future of AI in India."
26,"Open Internet, Inclusive AI: Unlocking Innovation for All",https://www.youtube.com/watch?v=Fbv9Z0LEp-U,2026-02-21,53:10,720,📼 RECORDED,"""This session will explore how the next phase of AI growth will depend on resilient, global internet infrastructure that can scale opportunity to bill"
27,AI for Safer Workplaces & Smarter Industries: Transforming Risk into Real-Time Intelligence,https://www.youtube.com/watch?v=DCPdK1zPiG4,2026-02-20,4:26:28,564,📼 RECORDED,AI for Safer Workplaces & Smarter Industries: Transforming Risk into Real-Time Intelligence
